module_genes	seed	edges	module_score	m_gwas	m_scrnaseq	module_score_z	z_gwas	z_scrnaseq	cell_type
AKT3:ERBB4:FOXO3:MARK3:MEF2C:RBFOX1:TCF4:YWHAE	TESPA1	109169:121106:169041:15305:15291:169086:121055	10.944220118548822	6.060734540610816	5.371118064566742	Astro
AKT3:CUL3:ERBB4:HSPA9:MACF1:NRXN1:TCF4	EIF2AK3	109169:165216:165239:81751:81816:15291	11.008141875896063	5.495665352862029	5.5530622780626535	2.5694599949901886	1.5923725709456253	1.8146409483553883	Astro
TENM2:TENM3:TMEM87A:TSPAN5	TENM3	229782:228778:228777	4.996610266368046	2.5740791424310685	2.485304368547999	-1.091946565762903	-1.105084022434185	-1.237647727580077	Astro
ANKS1B:RFTN2:SOX5:TCF4	TOB2	212723:20084:224428	8.414451961008561	4.6249989434278485	4.13554747205218	2.2905693692030606	2.0145393112196115	1.3440425656480302	Astro
ACADVL:FHIT:NT5C2:PDE4B	HIBCH	118722:186085:4235	8.07548464469778	4.056502298930931	4.0345236192270155	1.9551055147326277	1.1498075960084537	1.1859977905058614	Astro
ANKS1B:ERBB4:RFTN2:SOX5:TCF4	INIP	109169:212723:20084:109159:20071:224428	9.976030455464782	5.135527123948385	4.962706187564471	2.9306269170512746	2.0461553339729783	2.0368272650401265	Astro
MACF1:NRXN1:PITPNC1:YWHAE	RAB1B	165216:197217:165244	6.899341401369449	3.1761854454076768	5.043659580759608	0.7911185259265041	-0.1892291600485647	2.7647206531580224	Astro
AKT3:ELF2:ERBB4:MAGI2:SGCD:TCF4:VPS45	STX6	109169:105845:15291:219064:105742:109054	10.592666121984324	5.2550205640619785	5.53711993869104	2.1484171657971465	1.2183753703772338	1.7887245568287788	Astro
ARHGEF12:CYLD:MARK3:MEF2C:SPATS2L:YWHAE	BMS1	169041:25975:83901:169086:83855	6.509754981558939	3.8053004800017565	3.160439835912805	-1.399765174010066	-0.5492039956894847	-1.5969445263553805	Astro
DST:PIK3C2A:PRKD1:TKT	SCYL2	195883:195929:96012	7.216884434841655	3.810110525707054	3.573841405920588	1.1053795323509517	0.7750247670572857	0.4652925829939729	Astro
AKT3:ERBB4:PRKD1:PSD3:PTPRG:TCF4	SLC39A6	109169:109139:205556:109113:15291	10.616086547072875	5.261101272816452	5.581641303822651	3.014058823419489	1.7781336215653598	2.4860800654304014	Astro
