Gene	T.CD8.MAIT	NK.CD160pos	T.CD8.activated	B.naive	NK.FCGR3Apos	T.CD4.fh	T.cell.dividing	B.mature	T.CD8.CTL	T.CD4.reg	T.CD4.naive	T.CD4.conv	Monocyte	NK.dividing	B.T.doublet	DC.2	Macrophage	ILC	T.CD8.gd	DC.1	Plasma.IgM	B.Hypermutation	Plasma.IgG	Platelet	DC.plasmacytoid	Plasmablast	DC.activated	CD34.progenitor	Unknown	Neutrophil
FO538757.2	0.643935836178426	0.380567860251109	0.486858653462906	0.382413780134973	0.440663518333859	0.529108001559856	0.748069157689046	0.476037727582152	0.647798981790251	0.691837810303967	0.384473907701487	0.441315699060405	0.574717507821248	0.680642394789486	0.337389072375489	0.50364056475364	0.206924592788087	0.388531223835975	0.486021879612795	0.565644133097296	0.177412285908472	0.932619906725669	0.20429982143147	0.581885792966288	0.841653431815188	0.252782201421396	0.659410449479804	1.23442790635637	0.27535259156548	0.243642778607338
NOC2L	0.898718004174421	0.835669370389501	0.759880314064652	0.838982192770131	0.740686564230109	0.816808955462806	1.32615558420123	0.979438540237535	0.787050414216044	0.914778724221086	0.867189183421653	0.679723707599398	0.488754619293768	1.09676472925099	0.760621218771219	0.990017481620428	0.456911048865734	0.931848870892221	0.846278139738765	1.30650213859686	0.820633654830706	1.95117378118524	0.799639166175321	0.214122341555702	1.19450027150653	1.51093029078504	0.814133745905823	1.69463771665335	0.311212067392557	0.168390977220305
ISG15	2.89493849481733	1.85718003839156	2.11985565141971	1.01521953473265	2.01192479609624	1.79048313910583	4.54903284039034	1.84584378452598	2.42697220138155	3.02959813057139	1.41862537176616	1.83090694907656	2.74699212155051	2.92181593096438	1.68560835615155	3.13514489862958	2.88491577559753	1.55902292884733	1.48290681359543	2.54060738185458	2.35812944742418	3.3747387379996	1.68882817668351	0.436995872727939	0.963584281285734	1.76063004451949	1.16452237161197	2.32192707473457	0.374687818603182	0.487407976305504
TNFRSF18	0.635494511810777	1.73549134327792	0.210024513382162	0.0894279098770596	1.08070804387212	0.388457131090439	1.50546710854811	0.0802171507120392	0.334702363621469	2.1048237079707	0.118103079725915	0.697975727546305	0.0797618594938484	1.03593833450199	0.495849514621267	0.250281813259541	0.182792503692773	2.84243824803307	1.15493588359666	0.273184311654417	0.167575783868392	0.220949212206718	0.276552016171036	0.109483371458929	0.49269413949143	0.160409807375357	0	0.0874222669960627	0	0.110787635526181
TNFRSF4	0.443744832479526	0.770070874406851	0.234023262992431	0.0749194321267768	0.495583083001688	1.03203971573896	1.83927902061062	0.0689099749140656	0.25380550575657	2.79254207429686	0.368099156564924	1.31194964436825	0.132470441541869	0.499568527941927	0.854047438918456	0.547403048952767	0.229211917326367	2.26080464367395	0.372135424574884	0.213332026510188	0.187027017163382	0.21732149760539	0.290777659465543	0.270223254493718	0.729711101228685	0.15763211333905	2.33913076945108	0.458491163358352	0.159012543598212	0.11394913227916
SDF4	1.34265035267702	1.36717470350356	1.08051607570072	0.652625979681489	1.61247335092907	1.1097559881543	2.67720604828254	0.870035637661081	1.21193496738418	1.83105972164102	0.650929168257355	0.932272284185159	0.999558613076305	2.72082889178027	0.737626152959133	1.54193886433843	0.852778843295969	0.800917645910364	1.1608418567668	1.22513201416022	2.04105021862443	1.85248176802252	1.99566718647086	0.834062318168674	2.17618862235617	3.01942795641935	1.54264857577745	1.92205687761741	0.252997053330194	0.312117644716888
UBE2J2	0.930375149245421	0.702153293078091	0.810544177521749	0.630722033161352	0.776686437314091	0.719286904389003	1.83812134544886	0.75599740565991	0.833576986509425	1.1847663312336	0.548878271141174	0.595453338710585	0.656870195844116	1.62587220918029	0.715450827657974	1.22716033441579	0.457226648921387	0.706805633370848	0.762486459835807	1.46129622947301	1.11149654195265	2.2678700912542	1.06638581769223	0.745658800398671	1.06662186449642	1.95400728863546	0.823343575196944	1.45211267408047	0.257873279742073	0.047150134368159
CPSF3L	0.793662610703608	0.559134219311237	0.59921520761417	0.491861610769724	0.56855432392403	0.637797313419789	1.52977819523964	0.627183050919026	0.70251314777058	0.784464666498363	0.46492095323551	0.535044983751274	0.572551621145036	1.49310465287632	0.563548596659368	0.958817861274981	0.381829351368433	0.510375975206184	0.659154340317565	0.968045107610363	0.54239591824932	1.86645537690023	0.53118891690975	0.206438466467836	1.04027667407684	1.06909155842066	0.199521610881355	1.49454660379924	0.255194495866547	0.240451864907149
AURKAIP1	2.46640610835787	1.86767037288268	1.86976036249831	1.53762703403416	1.85373454013249	1.87407653771333	5.63796435004505	2.2193347663152	2.14057253353469	2.60422954969376	1.52220621267662	1.82639860377356	2.94955013602991	4.47913414136759	1.83764020599117	3.65198164986487	2.139447104033	1.81154356770521	1.86163761773385	4.01503038045937	3.85208899209445	6.40113919412185	3.72825053124306	1.70486765991384	3.18971510438681	6.07343984969453	2.63374293254452	2.91630193545612	0.734311220282374	1.17204392747753
CCNL2	0.719137748307223	0.631846795687835	0.639895631293227	0.494272201684705	0.572771396669505	0.746246058869617	1.16623905584262	0.618663340629057	0.724823931326794	0.80675449747946	0.583704741767731	0.541324837687612	0.476088525349951	0.971062102415737	0.48729894557491	0.668503098180466	0.35108147643706	0.605604810425186	0.796609432581349	0.67983713519347	0.538598675013014	1.47078004699681	0.632943027005793	0.395392178550891	0.734678756378569	0.736910904260278	0.788600736272716	1.25158395890035	0.336913172978141	0
