Gene	Epi.stratified	T.CD4	Epi.suprabasal	Epi.basal	Epi.upper	Dendritic.Cells	T.CD8	Fibroblast	Glands.duct	Mono.macro	NK.T.CD8.Cytotoxic	Endothelia.Lymphatic	Endothelia.vascular.venous	Endothelia.vascular.arterial	B.CD27pos	B.CD27neg	Glands.mucous	Mast.cell	Muscle
FO538757.2	0.494066522265163	0.297834133793381	0.59444949442221	0.444887293196927	0.361066064481849	0.301314379227367	0.149536210243267	0.422223130557119	0.648558485746472	0.0688222473617342	0.218812319625916	0.254198361496663	0.440709703909719	0.344044344529595	0.250825115817172	0.275478680010547	0.192263926343608	0.430518960951167	1.03302920888425
AP006222.2	0.614555930479395	0.172295292708153	0.70577806121204	0.452221858852866	0.725927465243082	0.516310100670293	0.14257068559236	0.355536227298628	0.715950039750807	0.258122808715958	0.357240258340056	0.208062389210223	0.41067912147572	0.72849280224233	0.115915095624627	0.194810149114536	0.677462156789016	0.0718766249356261	2.22782821449086
NOC2L	1.80716249373232	0.611553901265428	2.82542308143309	1.85619887033195	0.456804870429338	0.836790608711709	0.429225011561792	0.597899543282789	1.41134617652172	0.46041311224669	0.713334142489722	1.1294290816016	1.02389885689037	0.455740814521817	0.520858615466916	0.870187210910221	1.05568357065228	0.226335839706952	1.28434180355545
PLEKHN1	1.58271063338818	0.178254867556865	0.71820145999336	0.311010915062437	1.60064119192424	0.0202970581111864	0.110927997772968	0.0899924429394525	0.49552136665662	0	0.231638480027723	0.0907693272132538	0.078693849339175	0	0.0130295248624634	0.0425247357911971	0.217489085097085	0	0.0633255873099708
HES4	1.0935244651992	0.397528435629911	2.30664730296308	0.384388689886718	1.50231221910128	1.31735256727733	0.119814897922237	0.284827600027746	3.12527169840263	0.963474159916829	0.287440185655542	1.80109598916473	0.771143395046766	2.71300283148579	0.3386477550845	0.417740868852096	1.70964787352646	2.21739936354086	7.00622479663144
ISG15	0.447101720443976	1.62909236332124	0.611912098236226	0.516166029126798	0.806176053511293	1.63973255329802	1.71634726059928	1.07594375006888	0.997597927487174	1.91923479579982	1.63293339869297	1.47305526594667	2.27327698897262	5.3664158482406	1.25663878998016	0.96933383337634	1.47742242523849	2.39049637336649	3.54511805477827
RNF223	0.897787976640524	0.119967933211252	0.380416590702893	0.0854141083825155	3.50123642305014	0.0216240864752312	0.0126527919007716	0.0791248572180275	0.222217522746138	0	0	0.0741240495272648	0.0500733335610435	0	0.0230901942872711	0.0183423198448348	0.508618271634343	0	0.0529230558438151
SDF4	1.78700745542622	0.971490266893534	2.5254827388212	1.80816958175099	1.0551353763436	1.60720733637463	0.530079551350272	2.86796003589147	2.42372084299671	0.877262073887701	1.1993240850963	1.55202075583455	1.92500768119299	1.98058176740327	0.307009342474906	0.443468088942686	3.29157959502778	0.848673352321716	3.12358840816658
UBE2J2	1.46486731924174	0.501909498093033	2.18603688233088	1.41757599815027	1.12612798535214	1.08011898218192	0.346874625996888	0.770692301190302	1.54203792270897	0.479256180617811	0.534438430288227	0.788646865666572	0.834633695693996	1.20908886310226	0.424488436333797	0.401249538810885	1.97372944858141	0.256724196387348	1.30428511916225
ACAP3	0.87988466974466	0.252341067656074	1.0553341575344	0.521199057108458	0.642715793508566	0.136501700769356	0.176243650469635	0.317820378292881	0.360720559199723	0.102190959796913	0.262237911542216	0.126434892081587	0.247304414919803	0.350679735122923	0.156204442613394	0.0760679698377247	0.210578740184023	0.0936389189502256	1.04975563950682
PUSL1	0.989411900690834	0.166881824982225	1.54113465817507	0.704187768003971	2.38553938687873	0.253276568798414	0.148301783454361	0.229307076764107	0.597336638759069	0.2042309064868	0.10718550466138	0.234645501047716	0.321383694013113	0.0918598094992205	0.055315759510951	0.120211141399239	0.811790837321078	0.0809551986013958	0.407863478210692
CPSF3L	1.34306471413118	0.524609698463169	2.16486749303981	1.63172510122034	0.772906628313947	0.810122043145356	0.512461330390945	0.986292625977624	1.53059693185825	0.334000049425351	0.562852239791817	1.04829343910695	0.968611816880834	1.09412874616693	0.379940005279085	0.368093528864924	1.04668518565531	0.155861803848715	1.88269784814462
CPTP	1.25608833040251	0.209413833790043	1.0631538457754	0.651007591501062	2.55473554492507	0.266906390102718	0.0944266879038363	0.439510070162725	0.732605901158135	0.0663361052811414	0.179322633254724	0.748268675504016	0.609718290138965	0.748634461285757	0.135635479295743	0.10221124407814	1.59388435709384	0.0754452761490643	0.216293969909076
DVL1	0.936849288794338	0.120741274305753	0.830899155521379	0.32367900603602	0.938923564286396	0.0648204831133826	0.0251510061214135	0.132030379960269	0.340908150417623	0.129700858014474	0	0.134719499890431	0.316400234012662	0.35036944343431	0.0448593127641401	0	0.601232273671399	0	0.457310264268148
AURKAIP1	5.74885816228888	1.91101253091963	7.13138758183792	4.88746703714207	3.81812283015492	3.67380155759569	1.38584860911389	2.82079634558792	4.48852289138776	2.72648141944761	1.39600672410673	2.67820454660499	3.34526177820038	3.47016882132423	1.39601102860361	1.07712422912441	5.43525711536983	1.37948447269602	4.7758465679573
CCNL2	1.00313279854973	0.5241351017498	1.26356857731231	0.95294929793219	0.990061458301881	0.707849414953203	0.42931808871437	0.735888724250336	1.10469651159895	0.275164012855315	0.617516631777492	0.738446579734284	1.16446897797494	1.13503409368302	0.483689786806362	0.650989790936491	0.828815006818278	0.452215877942472	0.910048427975174
