gene	alpha	endothelial	delta	beta	duct	acinar	pp	mesenchymal
A1BG	0.699847312547384	0	0.5867736403927	0.801854800232188	0.0584615442733701	0.1895398842058	0.792353665681523	1.35602106400751
A1CF	6.75053895540317	0.305641064601497	4.90979480862336	3.73543460831458	0.703877653952491	3.90054604673288	5.08190993959116	0.250139275827552
A2M	0.0272465607526971	7.79609512618279	0.118818045249962	0.0679629276142366	0.497568768607204	0.134548811893294	0.0574832628073444	5.39948374882397
AAAS	1.68355248354265	0.958897570001093	0.998956521461177	1.71489846151114	1.84371499102018	1.61725319626738	1.02333044459265	2.04566752202421
AACS	4.35786923785242	1.36999727811581	3.64202583540467	5.8931709621168	3.86893617171371	3.69000944717475	2.66627873258766	3.41660360004251
AADAC	0.0407672805671056	0	0	0.0297504650713157	0.173796226018265	3.45260018770261	0.0499557901572442	0.541189541826182
AADAT	0.755580472416828	0.304332477748306	0.89489599909925	0.964525214614317	0.954436522495148	0.738253688825055	0.349904083654861	2.62975972476675
AAED1	3.26971801771724	1.43558278847351	1.60976491369752	2.1523267826676	1.36930513791811	1.28038124024492	1.21440311027694	2.37182725865082
AAGAB	2.62648226628716	3.3429341630369	3.02531415800103	3.30648194052554	3.6907378304252	3.45639008234674	2.29207405899318	4.80022197972634
AAK1	5.83551021984221	3.41923814705235	5.12289359354933	5.46202981454485	5.81956134578661	6.03227771047927	5.89817635974543	6.35508375382157
AAMDC	1.13038560979298	1.62592439179798	0.699897861147505	0.929068798752728	2.28840301844391	2.51220847129105	0.932405357818378	2.96239870013863
AAMP	4.30101698278324	4.70368936545896	4.53485716552939	4.35334137042376	4.66335523292395	5.26951273962434	4.02423102875274	5.29630828815657
AAR2	2.80193291053765	5.17674299733725	2.53165641628364	3.22887198953025	4.30780229307417	4.26518647257041	1.97028980909121	5.31816390244464
AARD	0.317547388605996	0	0.515861056118206	0.302423827764284	0.147342856173209	0.0503594094500136	0.315534470751483	0.434974365773417
AARS2	2.91518600333298	3.46255703525889	2.55851543465019	2.65238254524788	2.93908127175044	2.75558597988798	3.55525775104053	2.84052355567792
AARS	3.77642674836781	3.37937202062259	3.66088457277441	5.23995245323293	4.77589877225356	4.70223998930749	3.66708798414799	6.24009382200105
AASDHPPT	4.12195928776692	4.31144554155753	4.87216843396274	4.6037517280071	4.32568578463244	4.48504420929847	3.45928226151567	5.4287709656662
AASDH	2.52984089086788	0.897748041451645	2.33723257236707	2.62971540191346	2.02543275002255	1.65969790831395	2.39929215827167	2.73152559684471
AASS	1.10748869389187	3.36170472055784	2.51020625987209	1.86839400424	2.29488123328627	2.89027546997539	1.76312774807478	4.01914479478547
AATF	1.29902448398141	1.71221239749161	1.1833311639929	1.83925239240347	1.58566197933345	1.87704512391983	0.950342375926885	2.51667176147041
AATK	1.18416366779046	0.299535005838686	0.793966319745592	0.926559847626904	0.102680767875973	0.611721833789766	0.802060609044444	0.0578448335377027
ABAT	2.97726022424263	0.330626377652985	3.94523328379446	3.95877562981667	0.7601008202155	2.97667063388749	3.81817130898865	0.75236718097119
ABCA10	0.69261308576275	0	0.692376444370328	0.592968497850547	0.300138674052134	0.521228954288567	0.797144392602359	0.456913788988178
ABCA11P	0.575509582792381	0	0.812618653779483	0.618999350107382	0.326619200467757	0.135696302561172	0.441627601388262	0.440139335461635
ABCA1	1.56388681027869	0.240674858192302	0.466925089883322	1.43514033083805	2.1239948828601	3.73573727750513	1.42216562552059	5.24214107658594
ABCA2	1.53060974408965	0.240674858192302	1.44856504423388	1.77467030469998	0.493922120073768	0.204704252900281	2.34391459597824	0.720219139621495
ABCA3	0.76152561202669	0.241901542852366	0.46410396291483	1.59041867370775	0.827588922636114	0.528974072649803	0.322452062210302	0
ABCA5	5.83325963910555	2.16568100291174	6.57090026623912	6.7072083159732	4.03940721575269	4.74304252001746	6.88150097785573	1.60194303433395
ABCA9	0.379246308767436	0.238631142017225	0.408209779807988	0.533330941030713	0.368880009767586	0.268725142292334	0.319468320066068	0.358727946647157
ABCB10	2.59182910144061	1.96787246746001	1.41530647991915	0.971297658318444	2.02034208662121	2.31867197257854	1.74527429113531	2.97283148502366
ABCB1	2.10779764140958	3.02660901912947	1.64721677594971	1.49686431484512	3.91233724499509	2.2487645766153	5.55044114063513	0.145553456737428
ABCB5	0.403183977972303	0	0.38666824389562	0.467114360865319	0.601666952350502	0.368399762375142	0.780936528023451	0.676119573965777
ABCB6	1.33817692583474	1.44407192345608	1.4978410342465	2.19423904818885	0.879169178407352	1.15111444166769	1.24275233760422	1.53022848053297
ABCB7	1.09136529231455	1.33429287830494	1.00453060860293	1.18626408268723	1.45662996400094	1.15456812035194	0.46374895155425	1.95523822719704
ABCB8	0.488644187904112	0	0.587146610992146	0.34983766465305	0.263905169679016	0.390823766166447	0.432556990255438	0.400250852419451
ABCB9	0.620416545267863	0	0.573180203782323	0.621083105750515	0.572314492697649	0.614480356067896	0.628186295226609	0.252983048163492
ABCC10	1.45926045710914	0.832067327460559	1.18746456970835	0.954713890371703	1.91630791495892	1.70471332741841	1.16018325272047	1.98047453626789
ABCC1	1.40219308956595	3.36845824966321	1.22762681857052	1.24497565945204	2.82284230364685	2.61639676706889	1.06710669100194	4.78521288139166
ABCC3	0.294840218714747	0.272360014074113	0.160990334446256	0.427062307623234	6.82863718515158	6.16546291081877	0.347746290553339	0.725654364771679
ABCC4	1.23926771889557	2.85703074206056	0.3212894398769	0.363173298611498	2.39751740277106	2.08014875557601	0.228691440574907	3.46963392416783
ABCC5	3.49148555141876	1.52117348182869	5.44918946654099	3.59014993551676	2.41750359959573	1.63549849577926	1.69262654005459	4.19860603672661
ABCC6	0.630290905572302	0	0.380667322751979	0.439658372107348	0.340980255177856	1.45836711984092	0.422063804239604	0
ABCC8	7.64406889166481	0.541436548691053	8.23829130027005	9.87560516809085	1.1580109074654	1.06810805931233	9.59951822523946	1.09607612356985
ABCC9	5.32874818331664	3.13852118145612	7.02011703511133	4.30805165177204	3.54328796927543	3.2273946358459	8.16709981072274	4.48411142506727
ABCD3	5.32361024500321	3.49618365323367	4.52917700818962	4.21658400686115	5.05735873294487	4.76661975712608	4.21735336507125	4.22908813984614
ABCD4	1.93106834746521	2.41332810420584	2.31882242395078	1.87963457482626	2.7940470075203	2.57490471750596	1.6079373040112	2.74078719041454
ABCE1	4.01983713355742	6.22491156439519	4.38340980541341	4.9081241087318	5.08798200458264	5.37695608349588	2.91117122076211	6.44816842547212
ABCF1	4.68514758326682	4.85307720343324	4.59790609453116	5.02318650997864	6.22716026595867	5.90137221733404	3.90057805574576	6.73819607359927
ABCF2	2.55280365513955	4.53101123955403	2.43863377680143	2.93786568285055	3.61525754243405	4.44562532740284	1.75478935815705	5.89314393347985
ABCF3	0.736753654501448	0	0.603566904160879	0.638454790813206	0.800185993750551	0.728173330318515	0.547692591595739	0.805708694179964
ABCG1	1.80677126156756	3.86456984389344	1.99245003094933	3.01714844219543	0.618534856469281	0.472536443203816	1.70980008106379	0
ABCG2	1.88049073621616	1.25840645069983	0.0830863720452141	0.0260235822663267	0	0.0635181157732529	0.119249959531439	0.291895492901961
ABHD10	3.00640300166375	1.9997932665137	3.43475023558377	4.10864038027044	2.10385877733084	2.45886955701615	3.68301044280794	2.2367077452645
ABHD11	2.45939497839993	1.02328092832694	2.5307132160276	2.93018491691849	4.91564984147672	5.07103605076019	2.46162826897592	2.40461521298389
ABHD12	5.14838522315218	2.05552632531506	4.24700990497224	4.58482726511245	4.7384361879087	3.97052809280243	3.52319702755139	3.36100253671998
ABHD13	3.39911690618455	2.39794660565176	3.38164157235067	3.43881945314643	3.02659121607696	2.87191907692877	2.34459169724497	3.27704801301996
ABHD14A	3.08098035176212	1.15409000458054	2.18767906638759	2.8632367232075	0.920002957557324	0.912206428309392	2.56213414686208	1.36102723952454
ABHD14B	2.62603399562685	0.837078551063051	2.4600789618235	2.06211265897588	2.56662418728894	2.09875312585259	1.8784317535707	2.49124606424891
ABHD15	6.19500383935663	3.08205091169376	2.29752135670387	4.03760189712281	3.103083006462	3.22787163531922	4.24714661471	3.57203717854009
ABHD16A	6.36265105430332	3.98505376241134	7.24560643759724	5.34108908035777	5.46055086149981	5.35320975418479	5.68578857192036	4.49193570903031
ABHD2	6.40949336004268	4.11380295251848	7.65428731111856	7.23344187718085	8.09894407197474	7.98629058662207	6.86802947888664	7.93618970473755
ABHD3	2.51128763330434	2.14438906969956	2.40088290898294	4.66544174370017	5.16492309864316	3.49837124464334	0.881311017704438	2.77104751904595
ABHD4	1.43740626175591	4.67523441865122	2.46385112758589	2.80953461121645	5.83822470374412	4.59945066873086	1.62442846852694	6.11935966625031
ABHD5	2.31410687970901	2.58898406070793	2.44114660539025	3.46923877614495	3.95232421368539	4.65531958356746	2.16533186005552	3.48658512667629
ABHD6	1.90459783659182	1.3905142695269	1.69353791107252	2.3954621530758	1.25040086947575	0.75550436265501	1.09812951335616	2.37256167694965
ABHD8	0.343439749722605	0.240674858192302	0.424077570641251	0.420855260865819	0.451888744821307	0.327470546007691	0.399002007821672	0.104405502085497
ABI1	3.15559805716334	4.70860653328912	3.58886582384069	3.50175891837862	4.98371823635758	4.64095270330878	1.85374700800243	5.1215269880452
ABI2	6.38638694718802	5.45707448969994	6.35888500272094	6.18941371942956	4.92787849169928	3.47531182237985	6.32829951107348	6.03234522545176
ABL1	2.49658001652737	2.35133153168766	3.09924641322919	2.49603352936136	3.29471298869737	2.47418592142361	2.17231314966444	5.5741644402506
ABL2	4.52381865304241	7.84555744115338	4.36116127290328	4.65641619109497	4.45909085972949	4.35438989031547	4.39372211257567	6.25740417344139
ABLIM1	7.03435802812028	3.03698987994611	6.11480284621983	6.49969188032029	6.25394943363103	4.06505602555215	2.3928485593602	0.874324883423153
ABLIM2	3.03549853091087	0	3.25541802578187	2.27329700908348	0.583649981338504	1.54970595882428	1.79658925135084	0.250239072800526
ABLIM3	0.0266609833843597	1.59602554752685	0.0739809316421815	0.0601078574384383	0.862814127287245	0.481033299115204	0	2.46440205191703
ABRACL	1.26219927190958	5.52595227204452	1.92509923728974	4.49048160181763	5.36452784332205	5.27510870293738	1.42411048474464	4.2224329005538
ABR	3.7984897492255	2.41612455530267	4.26048228636838	5.27316329388093	4.04620113939709	1.79001949492082	2.22368856017229	4.11651088004084
ABT1	2.03448268419519	5.73660811659507	2.16351878632822	2.6048176848555	2.84758113366718	2.86429828524233	1.39991104215149	3.76417481004766
ABTB1	0.219190838417091	0.873852617708095	0.23091698281634	0.27853789390556	0.53787389474881	0.525845424953853	0.522398615984583	1.03495111326383
