Gene	Central_venous_LSECs	Cholangiocytes	Noninflammatory_Macrophages	CD3_alphabetaT	Inflammatory_macrophages	NK_like_cells	T_cells_1	Hep_5	Portal_endothelial_cells	T_cells_2	Periportal_LSECs	Hep_6	Mature_B_cells	Stellate_cells	Antibody_secreting_B_cells	Erthyroid_cells	Hep_2	Hep_3	Hep_1	Hep_4
FO538757.2	0.883802372948732	1.08136599785566	0.908947789040847	0.80075254849487	0.967864293936267	0.784743978572701	0.487112224659293	0.983757809773668	1.10001537095445	1.06624833319851	0.689280499484861	0.104185852666369	0.636191324093404	0.777008705714585	0.451086293044302	0.487625288344742	0.439825061942072	0.338468242916452	0.376475585933255	0.600232669312073
NOC2L	0.794408799809411	1.115086088519	0.359203810758504	0.833077474969707	0.613746059218253	0.797669976443808	0.71829974724448	0.761143492258918	0.914312825133666	1.1086944826223	0.767588274814647	0.210222826930536	0.643717098487569	0.412339220314363	0.950424649612802	0.228631378657977	0.550624997065912	0.13236163230852	0.538463480737701	0.625387884613341
ISG15	1.89888589757017	0.872968264483774	1.40052433583473	1.60199523746468	1.05999783648456	1.65344645793361	1.27715033535947	1.38228767526899	0.980158436666339	3.36499824875192	1.5993228719357	0.843335403971079	0.580546807097582	1.21826029578723	0.976607428273729	0.107256051539808	0.825602920038584	0.923349901792666	1.42541772450735	0.538299511133176
SDF4	2.03502641674072	2.23352606796621	1.29146220682446	1.26525606790211	1.43811749453913	1.46395390921933	1.77937845313358	3.59294580312912	2.09498961918375	2.97279512130085	1.76966200944867	0.493683315484212	0.602931103857012	2.68132315306055	2.55804233789894	0.151464010549722	2.17647640544986	1.81044604854495	1.9273403399175	1.39375992597056
UBE2J2	0.747642175649731	1.21947474543217	0.465045885298651	0.893291312338187	0.8034734869086	1.28565868444753	0.742263132823252	0.970579501715331	1.20534538605616	2.54945878367618	1.09036491251716	0.543013729009116	0.255986733716559	0.875613130143696	1.37545019035019	0.586871932397883	0.660089325321914	0.306330007286115	0.751227483884578	0.489550607420163
CPSF3L	0.684747151134194	0.894788778903806	0.386962145426103	0.757395778471648	0.796211109436044	0.933931921649982	0.65960593120084	0.989634910713839	0.918555203926489	1.69834901449916	1.00100840677252	0.44565198874179	0.56708888580384	0.819003603261539	0.795433029563873	0.460740624156507	0.524602872799855	0.351726896063578	0.707794982964084	0.835589175357631
CPTP	0.414552881811128	0.541221765412267	0.283299070697483	0.179935013703198	0.146347106364186	0.326909866041373	0.164439626891972	1.04684286845954	0.561681701304591	0.792122456286509	0.502412494578076	0.10605785331782	0.063247742010486	0.249554797313725	0.400432916308012	0.0753315282494394	0.721851042033743	0.348645454206274	0.71734266276367	0.50702084764527
AURKAIP1	2.51562679634642	4.52852560243738	2.37974504195963	1.95574238033822	3.00819799697567	2.32337587594045	1.76119763824133	4.42364337620881	3.13019913929591	4.80560196141347	3.17224909500124	4.13047470596834	1.50905366975411	3.44069943128992	4.89511440269098	1.66913432382105	5.04795893874664	2.2397324751899	6.04926148960945	3.19652485479094
CCNL2	1.10408589845963	1.56568843461213	0.317206298559229	0.683496758123808	0.560552758699926	0.83450295235848	0.689325257523119	2.35608941165349	1.24573325990753	1.10982376458647	1.17063076578679	0.38076823750217	0.443189984714154	0.754934812393499	0.735456635512001	0.373425279403301	0.943187779842047	0.397048801735497	0.92483630458237	1.05330670303557
MRPL20	2.55767628985365	4.22948948104885	2.62528324567172	2.14211642835078	2.50208463208867	2.27104439520951	2.14831786368389	4.43300701523091	2.95214289993692	3.27520005224551	3.28303601147526	4.35810399092319	0.97995912857429	4.25647943119456	3.79800551599666	1.81926718976305	5.47354098313388	2.51770829118558	5.97756621509866	2.36697794432869
VWA1	0.118270147451803	1.55322267146667	0.0593845893125998	0.0173257846742597	0.0105917372185398	0.0167041130386802	0	1.66496393131289	0.213544984021189	0	0.413465703370998	0	0	0	0.0328898354969032	0.0844908671363323	0.828970433706122	1.0232987021029	0.838014124557144	0.741831459033866
SSU72	2.46942674676301	3.97860371507392	2.99315047305776	2.52125168070175	3.02480736316429	2.60569947167521	2.02592104336983	3.39543392608262	2.85060607605356	3.55334343643026	2.50606067245547	2.36723158161732	1.67811593161563	3.45451421388219	2.63324214068232	0.70619083840018	3.03756267145645	0.989488324748473	2.61658610718696	1.25859094485247
MIB2	0.470843366803629	0.730652988551941	0.300859853463079	0.991003119940688	0.241160863860578	1.99361668167974	1.28572026701079	0.513807494627029	0.419303293667072	1.88036138361258	0.440281687536366	0.0418090643187393	0.409787777477614	0.405420137343658	0.38000108132738	0.0933276656305604	0.307720588136662	0.079000501185184	0.232538227546327	0.212259026341439
CDK11B	0.400016101729949	0.922947897143938	0.495869710407288	0.844264135184494	0.727522312122739	0.85754802048023	0.843340746694425	1.14223569064147	1.13304318756601	1.63017984492649	0.939448196956079	0.584754465040428	0.478170175643359	1.43579488772296	1.00634077392397	0.353438827531877	0.891173829554795	0.5217846432762	0.859725056820824	0.501985921842959
SLC35E2B	1.00943121683382	1.16636673902651	0.940656567022256	0.66765868054508	0.575498927274182	0.891546542859582	0.596260219761384	1.13151482052435	0.927522657315098	0.578659456133206	0.491174596293288	0	0.199869202657152	0.771311145429044	0.664391917872216	0.134342392505495	0.552609118778258	0.209889241833225	0.416712305141766	0.566382309787774
