Gene	Blood.vessel	Secretory.club	Alveolar.Type2	DC.2	Macrophage.MARCOpos	B.cell.naive	T.CD8.CytT	NK	Macrophage.MARCOneg	Fibroblast	Lymph.vessel	Monocyte	T.CD4	DC.Monocyte.Dividing	Plasma.cells	Basal	Muscle.cells	DC.1	Ciliated	Alveolar.Type1	DC.plasmacytoid	T.cells.Dividing	DC.activated	NK.Dividing	Mast.cells	T.regulatory	Macrophage.Dividing	B.cell.mature
FO538757.2	0.894628244080621	1.05799359471259	1.00412133778563	0.943414265464088	1.02779780265232	0.420730815128292	0.63486734580912	0.612769608343909	0.855865542396936	1.55446295516606	1.53636879469955	0.459980850471169	0.542530847135118	1.29381398370025	0.559904222296097	1.2001569614694	1.23975367291304	1.08647480431571	1.10119265801728	1.28888153432869	0.977066355743993	0.808426395529067	1.02245420988932	0.896129709936486	0.66243466254022	0.470613609084385	1.45349993705914	0.465420776467993
AP006222.2	0.813083172811281	0.585616058926837	0.72498439370409	1.08640760751293	1.94865513206566	0.266871325251756	0.247996769613481	0.313350028564073	1.20530181365705	2.05023479952433	1.35852955812788	0.38084186462797	0.219513590959019	1.445583123497	0.467278491707564	1.05675779131788	2.15136168172844	0.433022701061096	0.965995405376228	1.15063676520917	0.317720729129735	0.671629119485451	0.777336029148228	0.664500161863262	0.239736077767937	0.223965016339257	2.82364254941631	0.450101907449847
NOC2L	1.06092727089232	1.77590297274412	1.42135108410699	1.23456534253923	1.42303095859256	0.88376650316788	0.899129118482515	1.02390826120328	0.892785656654661	2.03835856446051	1.66201259527238	0.557334823068586	0.814259918965006	2.15632992087115	1.44210106989521	1.52260020331756	1.60650991726238	1.05098034613403	1.29506937940596	1.63065346305088	0.854555288356805	1.60979794635434	1.65430711173188	1.4563866472162	0.843339199427189	0.843601150454751	1.23128265964707	0.81037875138797
HES4	0.690833690500172	3.96077265861765	0.273161127309627	1.5514169857	0.303450676694227	0.159479826449081	0.1223999308488	0.293142053412047	0.155834371142024	1.1266247084488	2.43454101497902	2.14299230585897	0.140176396785874	0.950097776542438	0.207683198595537	1.56013991461885	3.81924936649633	0.360868452915055	2.24770673720914	1.88557532500309	0.841080131901098	0.357153690936988	0.382536872741517	0.431295091691284	0.58670543772692	0.150328359035534	1.53210852862526	0.107816282800836
ISG15	3.39024960688093	2.18576949411933	1.43480590613165	4.04991683205803	5.70949837746072	1.54421134720471	2.02809719399023	2.68771664194064	2.40209760022634	2.24013747488223	2.97450820469398	3.1588888514105	2.27377418995437	4.30122171653845	2.86918374604453	1.98101413834535	2.80203419709205	2.81931357846753	1.97062411831587	3.11932089396117	1.43370958657571	5.06358471643122	2.07191903694523	4.71943339453714	1.39055327818107	2.77272241451467	5.96717034603223	2.0554262816277
TNFRSF18	0.057829342724257	0.0567232721691284	0.0585644117592827	0.39508267704312	0.109764194872284	0.172989918820305	0.428642111432094	1.44118341503931	0.0335845088495675	0.0594836843966777	0.174198126421382	0.153482739165756	0.972562612350417	0.261380576845388	1.55265751933171	0.185254711314652	0.051537092371286	0.167416544618424	0.0171113315805965	0.0961072814435135	0.14907457464536	1.60847739471361	0.743023962286395	1.95483635429504	0.856479642061476	4.73669054319309	0.0646033930168547	0.174752599996372
SDF4	2.40907391823161	2.31422284258058	2.54206792411378	2.7315840181835	3.38936801690678	0.782761165446872	1.1977626084369	1.93046287892105	2.02972204759565	4.93997994598583	2.98123710932629	1.42922905100966	1.30900570690564	3.7037106607391	3.33417430189994	3.58537363289417	3.53612586734226	2.23119807281477	1.90878308733979	2.74014762799964	1.01721446191662	3.48233449147212	3.02712289777842	3.29867058898735	0.87162314397572	1.83134720433261	4.84349252483345	1.12953062464795
UBE2J2	1.16399494036396	1.42585616505584	1.55538602438149	1.26670458286333	1.54048908784871	0.722031664313132	0.829075735168951	1.04605635969914	0.89587617651767	2.11587552093049	1.79513671578582	0.703637559423888	0.719141855332984	2.10387805978693	1.48556143418047	1.27248326153668	1.6853503243893	0.901120807458318	1.36685564628222	1.7180744079713	0.643569592156538	2.39831942591741	1.03924085686319	1.79260262477458	0.523926100431802	0.823285754042845	2.07932361131787	0.860467249220498
ACAP3	0.335527615984972	0.299057104848108	0.423606450441707	0.408893838968777	0.40142313060263	0.120805867835184	0.216090166159912	0.21912428447923	0.456712686017801	1.14028842846318	0.472082781988761	0.304077461791473	0.209745763608285	0.875415895064228	0.576644688410052	0.640306346833741	0.645513105525744	0.449433978830594	0.281821570224263	0.834191698420497	0	0.511515487995984	0.570846648796256	0.548723258582684	0.154817142345412	0.146684177023053	1.35327786065843	0.270630988303721
PUSL1	0.298870277853212	0.642697939035343	0.668465303312038	0.512377437565341	0.583585166676957	0.173038932490934	0.152537797314135	0.221469576163521	0.368855012756949	0.794586126495139	0.572996328595546	0.246537813385966	0.197928803066778	1.37880611779147	0.62145188985071	0.613285371942302	0.414870001286043	0.31894736117231	0.54803974605162	1.13008500396527	0	0.528393724903259	0.333609890156012	0.420483727916133	0.106298286217711	0.140546828492576	1.73081195870281	0.201247142349968
CPSF3L	1.40368148475035	1.80175705807811	1.55290172364709	1.29592411031	1.3661643891847	0.462764155988463	0.777279539378368	0.896570583448045	0.814842213676149	2.2806796393034	2.37766241892251	0.663866179810003	0.778033331075882	2.03440309096165	1.42261319642269	1.52946827200832	1.80099732664874	0.982252984322959	2.12778033488378	1.88867395005487	0.848903476055187	1.85167534076828	1.65305167775719	2.09841575215314	0.373920193087498	0.751679376493946	2.28617661573891	0.89832951680902
