gene	CD4.Memory	CD14..Monocytes	NK.dim	pre-B.cell	NK.bright	CD4.Naive	CD8.Naive	pDC	Double.negative.T.cell	CD16..Monocytes	Platelet	CD8.effector	B.cell.progenitor	Dendritic.cell
AL669831.5	0.255057763499656	0.551848947855249	0.253971619332929	0.402024977719548	0.332035190994588	0.208971876879613	0.213517920546481	1.18559446268941	0.467316600617233	0.361031319208452	0	0.160641950861252	0.60438499289197	1.25080382370875
NOC2L	1.55491778086786	1.4484286222575	1.93653303534819	1.62057693610206	2.03694734209731	1.54238113228706	1.17078715848901	2.41538945367871	1.60811177746198	2.69544570663556	0.670994490058257	1.6280516683833	1.58833170818487	2.43478240716214
HES4	0.0395657428525742	0.452319878576399	0.186911096719734	0.0573973008929909	0	0.060462076668254	0.0207430280784298	0.206454661740714	0.071321163618272	6.73782267720268	0.15018030236717	0.0199856425446121	0.0615880091451111	0.264129396471526
ISG15	3.29466716876328	2.4854700051231	3.89579795177676	1.52366933506393	3.37123710068451	2.47398506187738	2.81518270715549	0.664903804932582	3.83239495748975	5.06816639224833	1.27018832285334	3.21626527060895	2.09939622612937	3.77623765753453
TNFRSF4	1.94328161121224	0.0155711415634201	0.560455128551912	0.0333111906341938	0.427344604791827	0.237455936746082	0.0424187124567547	0	0.255822608963823	0.0183892429954707	0.150334937162872	0.0785126979906678	0.0158313715603926	0
SDF4	2.08876142203821	2.69197597069622	4.16142536608726	1.22559278705437	3.75912001751616	1.42764555599901	1.62339096180228	4.42510436070972	1.77744263417842	2.52521654813885	0.71000702629153	2.08484783813503	1.90050508016919	3.41104393677025
B3GALT6	0.677136038819457	0.944803375473486	1.26946789952865	0.66967933502759	1.13820176105182	0.51712184550347	0.765288068558379	1.75360068202467	0.787161834535874	1.02033976073176	0.538991119024368	0.698338724065039	0.511958345878055	1.46457721153221
UBE2J2	1.87659753971591	2.1098234977471	2.24840823931167	1.42309458257274	1.88873612251245	1.35538598816727	1.70626448694873	2.51940108405097	1.75396152534655	2.64083737440814	1.29588658811359	1.43832547594322	1.55387554534304	3.53054680879566
ACAP3	0.709142245761389	1.46134105236502	0.494931012507091	0.512479302017332	0.35208768612144	0.469019813851803	0.62199460671598	1.03464023756871	0.707192466647549	1.42403536882281	0.399597020537677	0.864339855009392	0.93295201129353	1.29371878950946
PUSL1	0.428689526215773	0.595917493497073	0.538820910715783	0.262943334568731	0.697346057981269	0.294601559132279	0.212558367717256	0.280348870673469	0.583080474738864	0.930384778978967	0.139381209488896	0.457670372809888	0.323188564492659	0.558734631950297
INTS11	1.75264641079318	1.90702196722782	1.55290975290725	0.894528525667648	1.96404868679837	1.38657833643737	1.26790964300542	1.98594442830878	1.59879261444686	2.10290243947754	0.410954826194796	1.62978666870224	1.13422202641996	2.71074637763536
CPTP	0.713525132199057	0.424170293301224	0.437771859560876	0.242148705617156	0.899110893892973	0.496230316605182	0.46420955437298	0.554789732835247	0.585213030096588	0.441306850451715	0.606651638080997	0.419161886468001	0.624996555538322	0.473362472909855
DVL1	0.506830614290212	0.393657485510763	0.367464738393145	0.150576507944169	0.624691384591342	0.233206125710054	0.316636801993444	0.577818698241695	0.373628483765993	0.520286882079717	0.141644494134612	0.46801724660445	0.372038172679669	0.394240827046784
AURKAIP1	3.59175162210192	4.7383484900445	4.26787708379173	2.30238603721116	4.117877085184	2.73006953143394	2.81253927061756	5.68534949274896	3.41186639089565	5.08043394700595	2.34712378912211	3.56095322686593	3.5526467943814	6.08455071101655
CCNL2	1.85839119770058	1.97180534142936	1.80258314507609	1.62530258552257	2.19677301957781	1.64141482538576	1.74437030558773	1.87568946701814	1.64129238739743	2.13450198408953	1.03790515818311	1.68989040214849	1.75186696405123	2.92065127478042
MRPL20	3.78071381309134	4.95208267428907	4.6843558465286	2.44825856904119	4.68184428173004	3.48477852645601	3.809181687405	5.74053371152702	3.71879619698096	4.88381037497528	1.36413788367652	3.84479137045194	3.30024647144356	6.63418834174581
ATAD3B	0.536592244609914	0.403485715361965	0.626178879090291	0.416895806204749	0.460454302297781	0.501664558371771	0.598874493720855	0.979786671212544	0.44991158588381	0.861319466227177	0.284741398544565	0.765171568661658	0.475138239455472	0.73627167938441
ATAD3A	0.330162093668486	0.557165775356752	0.590695393524768	0.38681971773971	0.273527256755832	0.280482539798332	0.339068103847414	0.363787703170277	0.49948887036885	0.792933555336795	0.253629891672728	0.455361248164299	0.374250459902077	1.26402880475298
SSU72	4.40528159600663	4.83372295948167	3.96443763105273	3.41131929654888	3.71641876036547	4.12765201102652	4.49427309938732	4.24524049327764	3.64924179731326	5.37467831818074	3.21369698898639	3.64898641950386	4.24982924225924	5.85027036123193
AL645728.1	0.835569112968662	0.500702853385539	0.49956028766226	0.464371448991498	0.201981835600018	1.07903836105565	1.20838602066394	0.280277364714632	0.642296703170512	0.53895818995833	0.423572663982637	0.691858663251436	0.506280262558627	1.0316578946029
MIB2	1.6655999023813	0.8630204022286	3.50699654859812	0.800175293443684	2.8617112759308	1.24660573498243	1.17724877856229	3.18267492386512	2.24786132050419	1.22703198502414	0.871473103780273	2.13828575807307	0.93947977511246	1.16782224173662
CDK11B	1.26647830106245	1.33162915465758	1.34242116443061	0.952835048664091	1.10336119243835	0.933909319149624	1.11630177223227	1.96452601819789	1.12869580511486	1.63066797800503	0	1.02271491416415	1.27034376036884	1.80865294243603
