gene	Astro	Endo	Ex1	Ex2	Ex3e	Ex4	Ex5b	Ex6a	Ex6b	Ex8	Ex9	In1a	In1b	In1c	In3	In4a	In4b	In6a	In6b	In7	In8	Microglia	Oligo	OPC	Per
A1BG-AS1	0.0394222589999368	0.35016038854894	0.807920154312676	1.01587641429136	0.491389341669844	0.530313753003744	0.803344802373582	0.49803309503907	0.653167196356675	1.05024344456109	0.409861927642786	0.510595107301231	0.40354859300944	0.316906772490308	0.264462843459703	0.267669715778774	0.439066978405333	0.0336513050071262	0.0516985633892819	0.168756844773797	0.239135941060261	0.291728136253037	0.200881798541137	0.0637573491616988	0.222043076347446
A2M	0.214714502392906	7.96859315746723	0.362228713234579	0.409128431605221	0.200426733508376	0.212473535513933	0.476771004189967	0.220962369307069	0.340510821222434	0.344547994492761	0.180484025910176	0.325996213873104	0.226185195774429	0.302363426596475	0.23954429966237	0.164544198295282	0.218796467190995	0.152643116355497	0.249321876865341	0.167612190406537	0.123676023928676	3.21639593154459	0.123377496924354	0.349946651261892	3.23048812192481
A2ML1	0.587422992205755	0.132666542402841	0.571283369250281	0.693398607576163	0.238842546576446	0.339033578748436	0.546573271281895	0.445464556265791	0.355320790962792	0.439049965631855	0.155062851456937	0.382116562707039	0.297362291738995	0.310251825079646	0.641159240808077	0.305742555507002	0.336322025557692	0.549185655937092	0.721881727566895	0.286020725410783	0.363744451863966	0.240362056124771	0.0310265820989435	0.149304787651001	0
A2ML1-AS1	3.18904171402288	1.79658874271842	1.26907996004095	1.48719879781746	0.697224426554414	0.517050557294731	1.58575327962066	1.72467667601461	1.69443125617553	1.21615410549226	0.334299333964045	1.73739020282722	1.23551421685027	0.925099877050211	1.1593324515724	1.01624807160906	1.45690079282733	1.51548478877364	1.74451592104833	1.31405232179089	0.966412551058391	0.676624177865894	0.142320403437686	1.3543452975768	0
A2MP1	0.320821782118785	1.34931465572936	0.426560535194581	0.695308647065565	0.382675372888735	0.297450521933662	0.610176481479409	0.482925243570873	0.40009001273114	0.335533019830062	0.580876648704663	0.337615110932147	0.529876916093638	0.263891002528041	0.340196523129098	0.393858713236004	0.422028512305459	0.207769151115679	0.231414736814025	0.306721509321664	0.266685607480658	0.151489214052694	0.212094416767806	0.463264929246226	0.24225901700762
AAAS	0.952049154231498	0.564116910519838	0.775131748789487	0.971694552032219	0.615815210254176	0.592986767215186	0.902975443356241	0.980150343290502	0.58877628855603	0.783847550952488	0.501041016674475	0.267963139001661	0.488421329373043	0.385036083042817	0.508589417358278	0.390981328015072	0.753484036646589	0.604418439483722	0.681828496507422	0.473985089786536	0.421691673718812	0.348213002352553	0.294352847506224	0.48062810937476	0
AACS	0.478045904143336	0.477328630639513	2.04395548098313	2.50493659624345	2.24234951875406	1.40017622621928	2.33575951779631	2.68768614940731	1.80086675931696	1.72999356237432	1.65263508321629	0.910079114876595	0.593009614258258	0.66683084404116	0.645652510346691	0.876838187151306	0.877762573818944	0.614147062467799	1.03858919545302	0.860303523845944	0.8697748774899	0.752687445369478	0.329988616611803	0.496141531283366	0
AADAT	0.552097238804736	0.202912936866539	0.602063845387091	1.05691672859021	0.587934533911165	0.594864118422158	0.811970835735075	0.215060382795151	0.309744985236663	0.488557682629293	0.122696079341418	0.323888766027803	0.331212493324817	0.497994839550904	0.349023535469946	0.1675999035349	0.386117257855373	0.514131401671659	0.64087936680825	0.757286801557351	0.315680222449666	0.20683516402538	0.155700354430221	0.378327322446483	0
AAGAB	0.668127930224602	0.705065698500805	1.54184713804437	2.10729426853312	1.48544558562263	1.37663281677884	1.86630659130858	1.12436793986875	1.32466532152476	1.4209784735557	1.25646339854725	0.633748882355632	0.823347481173298	0.756371260002214	0.769272476627446	0.918120720934741	1.23772867476283	1.12470884393662	0.968089535073846	1.11571908248963	0.74497797000264	0.732569818350458	0.321108251593391	0.729478472853935	0.476628601822853
AAK1	2.83283277073419	3.40990085414008	5.56339976606316	6.85538078030388	5.00661533999946	5.18617996570199	6.54487229097721	4.89937452997085	5.3337494262887	5.10353834714013	5.04220182740025	4.4593923863888	4.51883547546602	4.32970495227498	4.66307936891107	4.06467046188818	5.82956585350916	5.39455274556176	6.15106214001195	7.03926761924919	6.11637925338011	3.4941748065759	2.00085642782282	3.2303203650874	0.914184507293697
AAMDC	0.901065588349341	1.31053474583829	0.985342207309132	1.30212576085603	0.454171858984085	0.618910933907167	1.14399732781955	1.00166303509203	1.00045416519618	1.20470767373702	0.363341825146229	0.693475478694882	0.848934231303588	0.638019712431226	0.754185184256038	0.599939435493628	0.909624195932481	0.76871588893902	0.886715304251635	0.752968773114853	0.497977045142026	0.718609300304309	0.655556204495445	0.845522165551132	0.505252346786922
AAMP	0.679435487298605	0.973470001029054	1.29096027956954	1.71058310065269	0.97397325847106	0.907292639627117	1.37408887954814	1.35456822033176	1.10302321849517	0.975417935024392	0.907377133101278	1.27993216799543	0.861036954679958	0.903774659847124	0.812707615570663	0.918501480845648	1.11332559897217	0.780807661798731	1.13728242501295	0.921462267408385	0.788723956585338	0.553221768599228	0.287741186703306	0.556469616251287	0
AARS	0.809814021818051	0.984893183919903	1.79660905006949	2.20500467745707	2.24022041218451	1.72937138520471	2.2364501443698	1.92560827606183	1.49763314059014	1.84022847372135	2.19560857825172	1.85023614356071	1.61343263574779	1.5451002558247	1.18949331137165	1.47390622329004	2.11155149982434	1.47838297171507	1.85567811821447	1.60314932351355	1.55077676361524	1.05344788774343	0.531771143079796	0.838604750923384	0
AASDH	1.96411457871893	0.877743600149375	1.23909660438211	1.97632757080522	0.866742050828354	1.0307286297865	1.71672260692777	1.36099782831128	1.45645364760372	1.26265891086878	0.399376541354944	1.25560841868816	1.34647031777754	1.08276225625604	1.17337380061092	1.25404737750039	1.61166153968402	1.40284127304254	1.56834055445301	1.25700358056077	1.12013198155345	0.66951714035927	0.514367798447268	1.04257949055627	0
AASDHPPT	0.601547513987031	0.940145531100579	1.66609007509207	2.11240648066617	2.30262273909193	1.87802982534956	1.9166624457876	1.48740185507702	1.44236458927046	1.49982899353788	3.73212376834962	1.39038710569652	1.09600105038829	1.6104542371524	1.22190268010344	1.69900589248682	1.66800614121056	1.21401407562155	1.35706674174217	1.76881086028952	1.64764393709213	0.585929635616803	0.601684538368938	0.890654208330932	0
